0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:23:05 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:23:05 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:23:05 +0530] "GET /fundoo/getAllCollaboratedNotes HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:23:05 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5351
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:23:05 +0530] "GET /fundoo/getAllCollaboratedNotes HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:23:05 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:23:05 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5351
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:23:05 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:23:05 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5351
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:23:05 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:23:05 +0530] "GET /fundoo/getAllCollaboratedNotes HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:23:05 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5351
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:23:05 +0530] "GET /fundoo/getAllCollaboratedNotes HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:23:05 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:23:05 +0530] "GET /fundoo/getAllCollaboratedNotes HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:23:05 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:23:05 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:23:06 +0530] "GET /fundoo/getAllCollaboratedNotes HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:23:06 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:23:06 +0530] "GET /fundoo/getAllCollaboratedNotes HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:23:06 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5351
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:23:06 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:23:06 +0530] "GET /fundoo/getAllCollaboratedNotes HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:23:06 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5351
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:23:06 +0530] "GET /fundoo/getAllCollaboratedNotes HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:23:06 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [01/Sep/2018:10:23:06 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
